algo,dist_mean,dist_var,expanded_mean,expanded_var,h,heuristic,n_runs,p,path_len_nodes_mean,path_len_nodes_var,relaxed_mean,relaxed_var,time_s_mean,time_s_var,visited_mean,visited_var,w
astar,98.0,0.0,2137.6,212.08163265306123,50,euclidean,50,0.1,99.0,0.0,2209.7,358.98979591836735,0.01950041000265628,1.225851909902521e-05,2210.3,365.31632653061223,50
astar,98.0,0.0,689.2,18363.428571428572,50,manhattan,50,0.1,99.0,0.0,1058.2,39275.67346938775,0.006130572003312409,3.979390861540508e-06,982.5,33671.683673469386,50
dijkstra,98.0,0.0,2252.9,222.5408163265306,50,none,50,0.1,99.0,0.0,2252.1,222.74489795918367,0.016973194000311196,1.32289448775965e-05,2253.1,222.74489795918367,50
astar,inf,nan,1597.7,292943.6836734694,50,euclidean,50,0.2,89.1,900.0918367346939,1647.8,310733.02040816325,0.016246196003630756,4.011825669425325e-05,1648.4,310539.4285714286,50
astar,inf,nan,509.5,41243.316326530614,50,manhattan,50,0.2,89.1,900.0918367346939,717.0,80342.04081632652,0.004882727998774499,5.002351953022759e-06,673.1,69063.35714285714,50
dijkstra,inf,nan,1797.1,365658.2551020408,50,none,50,0.2,89.1,900.0918367346939,1796.3,365746.94897959183,0.015501433996250853,4.1788875820653963e-05,1797.3,365746.94897959183,50
astar,inf,nan,919.7,378063.0714285714,50,euclidean,50,0.3,71.1,2216.214285714286,954.9,406968.6632653061,0.008887515997048467,3.6115638394336664e-05,955.7,406797.9693877551,50
astar,inf,nan,418.0,126142.24489795919,50,manhattan,50,0.3,71.1,2216.214285714286,506.9,167771.11224489796,0.003685500001301989,9.448867166583252e-06,481.8,148281.79591836734,50
dijkstra,inf,nan,1199.6,625593.5102040817,50,none,50,0.3,71.1,2216.214285714286,1199.6,626628.0,0.009358663997845724,4.2390355731993835e-05,1200.6,626628.0,50
astar,198.0,0.0,8712.2,3024.6530612244896,100,euclidean,50,0.1,199.0,0.0,8881.9,3122.1326530612246,0.09118189599947073,0.0002609785270123589,8882.9,3122.1326530612246,100
astar,198.0,0.0,1922.3,168309.806122449,100,manhattan,50,0.1,199.0,0.0,2900.7,354971.0306122449,0.018552856008755045,1.7451269835539895e-05,2609.8,283140.36734693876,100
dijkstra,198.0,0.0,8994.8,1179.9591836734694,100,none,50,0.1,199.0,0.0,8993.8,1179.9591836734694,0.08299847799818963,0.00022044412235540983,8994.8,1179.9591836734694,100
astar,inf,nan,5161.6,11649322.693877552,100,euclidean,50,0.2,139.3,8485.92857142857,5262.9,12115102.336734693,0.05196907999110408,0.001330064097553402,5263.9,12115102.336734693,100
astar,inf,nan,1293.4,910397.5918367347,100,manhattan,50,0.2,139.3,8485.92857142857,1764.0,1618362.857142857,0.01215192599920556,0.0001063933197678228,1615.2,1347161.387755102,100
dijkstra,inf,nan,5579.5,13608700.867346939,100,none,50,0.2,139.3,8485.92857142857,5578.6,13609191.06122449,0.04540510799968615,0.0009379380090100865,5579.6,13609191.06122449,100
astar,inf,nan,2931.5,9108758.826530613,100,euclidean,50,0.3,60.5,8716.785714285714,2966.8,9282310.163265307,0.027555676001356916,0.0008308432759514579,2966.6,9273262.489795918,100
